No,Level,Kode_Acuan,Kode_2025,Judul_2025,Cakupan_2025,Tidak_Cakupan_2025,Kode_2020,Judul_2020,Cakupan_2020,Tidak_Cakupan_2020,Status
2412,Kelompok (Kode KBLI),66117,66117,AKTIVITAS REGULATOR MANDIRI,"Kelompok ini mencakup kegiatan regulator mandiri yang membuat aturan dan mengawasi penyelenggaraan transaksi di pasar keuangan yang aman, teratur, dan sesuai dengan kebijakan di pasar keuangan bagi anggotanya.",,66117,PENYELENGGARA PASAR ALTERNATIF,Kelompok ini mencakup kegiatan pihak yang menyelenggarakan dan menyediakan atau menggunakan sistem elektronik untuk mempertemukan transaksi efek atas efek bersifat utang dan/atau sukuk antar pengguna jasa secara terus-menerus di luar bursa efek.,,BERUBAH (judul/definisi berbeda)
2413,Kelompok (Kode KBLI),66119,66119,"ADMINISTRASI PASAR KEUANGAN, PASAR BERJANGKA KOMODITAS, DAN PASAR SEJENISNYA YTDL","Kelompok ini mencakup kegiatan administrasi pasar keuangan, pasar berjangka komoditas, dan pasar sejenisnya yang belum dicakup di tempat lain.",,66119,PENYELENGGARA INFRASTRUKTUR PERDAGANGAN DI PASAR MODAL LAINNYA,"Kelompok ini mencakup kegiatan badan usaha atau lembaga yang menyediakan dan menyelenggarakan infrastruktur terkait transaksi di pasar modal, selain peran sebagai berikut: menyediakan sarana pelaksanaan transaksi; menyelenggarakan kliring, dan mengelola risiko; melaksanakan penyelesaian transaksi (setelmen); menyelenggarakan penatausahaan, pencatatan, dan pelaporan transaksi; melakukan penilaian harga efek dalam rangka menetapkan harga pasar wajar; menyelenggarakan dan mengelola dana perlindungan pemodal; melakukan pendanaan transaksi efek; dan menyediakan, mengelola, dan mengoperasikan penyelenggaraan layanan penawaran efek yang dilakukan oleh penerbit untuk menjual efek secara langsung kepada pemodal melalui jaringan sistem elektronik yang bersifat terbuka.",,BERUBAH (judul/definisi berbeda)
2414,Sub Golongan,6612,6612,KEPIALANGAN EFEK DAN KONTRAK KOMODITAS,,,6612,PENYELENGGARA INFRASTRUKTUR PERDAGANGAN DI PASAR BERJANGKA KOMODITI,"Subgolongan ini mencakup kegiatan badan usaha yang menyelenggarakan dan menyediakan infrastruktur utama perdagangan berjangka komoditi dapat berupa sistem dan/atau sarana untuk aktivitas jual beli serta pelaksanaan kliring dan penjaminan penyelesaian transaksi komoditi secara fisik dan/atau berdasarkan kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya. Subgolongan ini mencakup : - kegiatan usaha bursa berjangka komoditi, - kegiatan usaha lembaga kliring dan penjaminan berjangka, - bursa berjangka penyelenggara pasar fisik, - lembaga kliring dan penjaminan berjangka penyelenggara pasar fisik.",,BERUBAH (judul/definisi berbeda)
2415,Kelompok (Kode KBLI),66121,66121,KEPIALANGAN EFEK SELAIN UNIT KARBON,"Kelompok ini mencakup kegiatan pihak yang melakukan transaksi efek untuk pihak lain atau nasabahnya, termasuk aktivitas perantaraan pedagang efek yang khusus didirikan di suatu wilayah tertentu.","Kelompok ini tidak mencakup - perdagangan instrumen keuangan atas nama sendiri (selain unit karbon), lihat kelompok 64994; - kepialangan unit karbon, lihat kelompok 66127.",66121,BURSA BERJANGKA,"Kelompok ini mencakup kegiatan badan usaha yang menyelenggarakan dan menyediakan sistem dan/atau sarana untuk kegiatan jual beli komoditi berdasarkan kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya.",,BERUBAH (judul/definisi berbeda)
2416,Kelompok (Kode KBLI),66122,66122,KEPIALANGAN PERDAGANGAN KOMODITAS BERJANGKA,"Kelompok ini mencakup kegiatan jual beli komoditas berdasarkan kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya atas amanat nasabah dengan menarik sejumlah uang dan/atau surat berharga tertentu sebagai margin untuk menjamin transaksi tersebut, termasuk bagi pihak yang menjalankan fungsi sebagai wakil pialang berjangka, pembukaan kantor cabang pialang berjangka, penyaluran amanat luar negeri, dan peserta sistem perdagangan alternatif.",,66122,LEMBAGA KLIRING DAN PENJAMINAN BERJANGKA,Kelompok ini mencakup kegiatan badan usaha yang menyelenggarakan dan menyediakan sistem dan/atau sarana untuk pelaksanaan kliring dan penjaminan penyelesaian transaksi perdagangan berjangka.,,BERUBAH (judul/definisi berbeda)
2417,Kelompok (Kode KBLI),66123,66123,KEPIALANGAN ASET KEUANGAN DIGITAL,"Kelompok ini mencakup kegiatan yang memfasilitasi perdagangan aset keuangan yang direpresentasikan secara digital, seperti kripto, yaitu kegiatan bertransaksi di bursa aset keuangan digital atas nama pihak lain atau nasabah.",,66123,BURSA BERJANGKA PENYELENGGARA PASAR FISIK,Kelompok ini mencakup kegiatan badan usaha yang menyelenggarakan dan menyediakan sistem dan/atau sarana untuk kegiatan jual beli komoditi dengan mekanisme pasar fisik di bursa berjangka.,,BERUBAH (judul/definisi berbeda)
2418,Kelompok (Kode KBLI),66124,66124,KEPIALANGAN PASAR UANG DAN PASAR VALUTA ASING,Kelompok ini mencakup kegiatan pihak yang bertindak sebagai perantara bagi nasabah yang bertransaksi di pasar uang dan pasar valuta asing.,,66124,LEMBAGA KLIRING DAN PENJAMINAN BERJANGKA PENYELENGGARA PASAR FISIK,Kelompok ini mencakup kegiatan badan usaha yang menyelenggarakan dan menyediakan sistem dan/atau sarana untuk pelaksanaan kliring dan penjaminan penyelesaian transaksi terhadap transaksi yang terjadi melalui pasar fisik di bursa berjangka dan pasar lelang komoditas.,,BERUBAH (judul/definisi berbeda)
2419,Kelompok (Kode KBLI),66125,66125,AKTIVITAS PENUKARAN VALUTA ASING (MONEY CHANGER),Kelompok ini mencakup kegiatan jual dan beli uang kertas asing serta pembelian cek pelawat,,,,,,BARU (hanya ada di KBLI 2025)
2420,Kelompok (Kode KBLI),66126,66126,PENAWARAN EFEK MELALUI LAYANAN URUN DANA BERBASIS TEKNOLOGI INFORMASI (SECURITIES CROWDFUNDING),"Kelompok ini mencakup kegiatan penyediaan, pengelolaan, dan pengoperasian penawaran efek oleh penerbit yang secara langsung kepada pemodal melalui jaringan sistem elektronik yang bersifat terbuka.",,,,,,BARU (hanya ada di KBLI 2025)
2421,Kelompok (Kode KBLI),66127,66127,KEPIALANGAN UNIT KARBON,"Kelompok ini mencakup kegiatan perantaraan, yaitu pihak yang melakukan transaksi unit karbon untuk pihak lain atau nasabahnya","Kelompok ini tidak mencakup - perdagangan unit karbon atas nama sendiri, lihat kelompok 64995; - kepialangan efek selain unit karbon, lihat kelompok 66121; - bertransaksi di pasar keuangan atas nama sendiri (selain kegiatan perdagangan unit karbon), lihat kelompok 64994.",,,,,BARU (hanya ada di KBLI 2025)
2422,Kelompok (Kode KBLI),66129,66129,KEPIALANGAN EFEK DAN KONTRAK KOMODITAS LAINNYA,"Kelompok ini mencakup kegiatan kepialangan efek dan kontrak komoditas dan aktivitas bertransaksi di pasar keuangan atas nama orang lain (bertindak sebagai pialang) yang belum dicakup di tempat lain, seperti transaksi perdagangan bulion atas nama pihak lain (kepialangan).","Kelompok ini tidak mencakup aktivitas perdagangan di pasar keuangan atas nama sendiri, lihat kelompok 64994.",,,,,BARU (hanya ada di KBLI 2025)
2423,Sub Golongan,6613,6613,"AKTIVITAS YANG TERKAIT DENGAN KLIRING, PENYIMPANAN, DAN SETELMEN TRANSAKSI DI PASAR KEUANGAN DAN PASAR BERJANGKA KOMODITAS",,,6613,PENYELENGGARA INFRASTRUKTUR PASAR UANG DAN PASAR VALUTA ASING,"Sub golongan ini mencakup kegiatan badan usaha atau lembaga yang menyediakan dan menyelenggarakan infrastruktur terkait transaksi di pasar uang dan pasar valuta asing terhadap rupiah, termasuk transaksi derivatif suku bunga dan nilai tukar, dengan peran sebagai berikut: - menyediakan sarana pelaksanaan transaksi; - melaksanakan novasi, menyelenggarakan kliring, dan mengelola risiko; - melaksanakan penyelesaian transaksi (setelmen); - menyelenggarakan penatausahaan, pencatatan, dan pelaporan transaksi; dan - kegiatan penyediaan dan penyelenggaraan infrastruktur terkait transaksi di pasar uang dan pasar valuta asing lainnya.",,BERUBAH (judul/definisi berbeda)
2424,Kelompok (Kode KBLI),66131,66131,KLIRING DAN SETELMEN TRANSAKSI DI PASAR KEUANGAN,"Kelompok ini mencakup kegiatan kliring dan setelmen transaksi di pasar keuangan, termasuk kliring dan setelmen transaksi efek, kontrak komoditas, transaksi pasar uang dan valuta asing, aset keuangan digital, dan transaksi pasar keuangan lainnya.",,66131,PENYELENGGARA SARANA PELAKSANAAN TRANSAKSI DI PASAR UANG DAN PASAR VALUTA ASING,Kelompok ini mencakup kegiatan badan usaha yang menyediakan teknologi dan menyelenggarakan sarana untuk melaksanakan transaksi di pasar uang dan pasar valuta asing terhadap rupiah. Kelompok ini mencakup antara lain: perusahaan pialang pasar uang dan pasar valuta asing; dan penyedia electronic trading platform di pasar uang dan pasar valuta asing.,,BERUBAH (judul/definisi berbeda)
2425,Kelompok (Kode KBLI),66132,66132,AKTIVITAS PENYIMPANAN ASET KEUANGAN DAN KONTRAK KOMODITAS BERJANGKA,"Kelompok ini mencakup kegiatan jasa penitipan aset keuangan yang ditransaksikan di pasar keuangan, seperti efek, harta yang berkaitan dengan portofolio investasi kolektif, kontrak komoditas berjangka, aset keuangan bulion, dan aset keuangan digital.",,66132,CENTRAL COUNTERPARTY TRANSAKSI DERIVATIF SUKU BUNGA DAN NILAI TUKAR,"Kelompok ini mencakup kegiatan lembaga yang menempatkan dirinya di antara para pihak yang melakukan transaksi derivatif suku bunga dan nilai tukar sehingga bertindak sebagai pembeli bagi penjual dan sebagai penjual bagi pembeli, yang memiliki fungsi antara lain: novasi, yaitu proses pengakhiran kontrak awal antara pembeli dengan penjual kemudian menggantikannya dengan dua kontrak baru; penyelenggaraan kliring, yaitu penyelenggaraan proses yang dilakukan setelah terjadinya transaksi; dan pengelolaan risiko, atas transaksi derivatif suku bunga dan nilai tukar.",,BERUBAH (judul/definisi berbeda)
2426,Kelompok (Kode KBLI),66133,66133,AKTIVITAS ADMINISTRASI KEPEMILIKAN EFEK,Kelompok ini mencakup kegiatan pencatatan pemilikan efek dan pembagian hak yang berkaitan dengan efek dan/atau penerbit efek berdasarkan kontrak dengan emiten.,,,,,,BARU (hanya ada di KBLI 2025)
2427,Sub Golongan,6614,6614,PENYELENGGARAAN TRANSAKSI KEUANGAN DAN PENGELOLAAN UANG RUPIAH SELAIN PASAR KEUANGAN,,,6614,PERUSAHAAN EFEK SELAIN MANAJEMEN INVESTASI,"Subgolongan ini mencakup kegiatan usaha perusahaan efek di pasar modal, selain kegiatan manajemen investasi. Kegiatan usaha tersebut meliputi: - kegiatan penjaminan emisi efek, kegiatan lain yang berkaitan dengan aksi korporasi dari perusahaan yang akan atau telah melakukan penawaran umum; - melakukan transaksi efek untuk kepentingan sendiri dan pihak lain, dan/atau pemasaran efek untuk kepentingan perusahaan efek lain, melakukan kegiatan usaha jual beli efek bersifat utang dan sukuk untuk kepentingan sendiri dan/ atau nasabahnya; - melakukan kegiatan penawaran kepada calon nasabah untuk menjadi nasabah perantara pedagang efek; - memasarkan efek reksa dana berdasarkan kontrak kerja sama dengan manajemen investasi pengelola reksa dana; - dan kegiatan lain yang diatur oleh Otoritas Jasa Keuangan.",,BERUBAH (judul/definisi berbeda)
2428,Kelompok (Kode KBLI),66141,66141,PENYEDIAAN JASA PEMBAYARAN,"Kelompok ini mencakup kegiatan penyediaan jasa pembayaran kepada pengguna akhir jasa layanan sistem pembayaran pada sisi depan, yang mencakup aktivitas antara lain: - penatausahaan sumber dana untuk pembayaran, termasuk menerbitkan instrumen atau akun pembayaran; - penerusan perintah transfer dana (termasuk layanan remitansi) dan penerusan data transaksi pembayaran, termasuk pengakuisisian (acquiring) dan penyelenggaraan gerbang pembayaran (payment gateway).",,66141,PENJAMIN EMISI EFEK (UNDERWRITER),"Kelompok ini mencakup kegiatan usaha pihak yang melakukan kegiatan penjaminan emisi efek, kegiatan lain yang berkaitan dengan aksi korporasi dari perusahaan yang akan atau telah melakukan penawaran umum, seperti pemberian nasihat dalam rangka penerbitan efek, penggabungan, peleburan, pengambilalihan, dan/atau restrukturisasi, serta kegiatan lain yang ditetapkan dan/atau disetujui oleh Otoritas Jasa Keuangan.",,BERUBAH (judul/definisi berbeda)
2429,Kelompok (Kode KBLI),66142,66142,PENYELENGGARAAN INFRASTRUKTUR SISTEM PEMBAYARAN,"Kelompok ini mencakup kegiatan penyelenggaraan infrastruktur sistem pembayaran yang terkait dengan kliring dan setelmen transaksi pemindahan dana dalam rangka transaksi pembayaran. Kelompok ini juga mencakup: - penyelenggaraan fungsi sebagai prinsipal dan pengalihan (switching) dalam rangka transaksi pembayaran; - kegiatan lain terkait penyelenggaraan infrastruktur sistem pembayaran, seperti penatausahaan identitas pihak yang terlibat dalam penyelesaian transaksi pembayaran.",,66142,PERANTARA PEDAGANG EFEK (BROKER DEALER),"Kelompok ini mencakup kegiatan usaha pihak yang melakukan transaksi efek untuk kepentingan sendiri dan pihak lain, dan/atau pemasaran efek untuk kepentingan perusahaan efek lain, serta kegiatan lain yang ditetapkan dan/atau disetujui oleh Otoritas Jasa Keuangan.",,BERUBAH (judul/definisi berbeda)
2430,Kelompok (Kode KBLI),66143,66143,PENYELENGGARAAN PENUNJANG SISTEM PEMBAYARAN,"Kelompok ini mencakup kegiatan penyelenggaraan kegiatan yang mendukung pelaksanaan penyediaan jasa pembayaran dan/atau infrastruktur sistem pembayaran dalam melakukan pemrosesan transaksi pembayaran, contohnya pencetakan kartu, personalisasi pembayaran, penyediaan pusat data dan/atau pusat pemulihan bencana, penyediaan terminal, penyediaan fitur keamanan instrumen pembayaran dan/atau transaksi pembayaran, penyediaan teknologi pendukung transaksi nirkontak (contactless), penyediaan penerusan (routing) data pendukung pemrosesan transaksi pembayaran.",,66143,PERUSAHAAN EFEK DAERAH (PED),Kelompok ini mencakup kegiatan sebagai perusahaan efek yang telah memiliki izin usaha dari Otoritas Jasa Keuangan untuk melakukan kegiatan usaha sebagai perantara pedagang efek yang mengadministrasikan rekening efek nasabah dan khusus didirikan dalam suatu wilayah provinsi.,,BERUBAH (judul/definisi berbeda)
2431,Kelompok (Kode KBLI),66144,66144,AKTIVITAS JASA PENGOLAHAN UANG RUPIAH,"Kelompok ini mencakup kegiatan distribusi uang rupiah, penyimpanan uang rupiah di khazanah, pemrosesan uang rupiah dan/atau, pengisian, pengambilan, dan/atau pemantauan kecukupan uang rupiah pada automated teller machine (ATM), cash deposit machine (CDM), cash recycling machine (CRM) dan/atau mesin transaksi uang rupiah tunai lain. Kelompok ini juga mencakup kegiatan melakukan kerja sama untuk kegiatan pembawaan uang kertas asing ke dalam dan ke luar daerah pabean Indonesia, melakukan penyediaan dan pemeliharaan automated teller machine (ATM), cash deposit machine (CDM), cash recycling machine (CRM) dan/atau mesin transaksi uang rupiah tunai lain.",,66144,PERANTARA PEDAGANG EFEK UNTUK EFEK BERSIFAT UTANG DAN SUKUK (PPE-EBUS),Kelompok ini mencakup kegiatan pihak yang telah terdaftar di Otoritas Jasa Keuangan untuk melakukan kegiatan usaha jual beli efek bersifat utang dan sukuk untuk kepentingan sendiri dan/ atau nasabahnya.,,BERUBAH (judul/definisi berbeda)
2432,Kelompok (Kode KBLI),66149,66149,PENYELENGGARAAN TRANSAKSI KEUANGAN DAN PENGELOLAAN UANG RUPIAH LAINNYA SELAIN PASAR KEUANGAN,"Kelompok ini mencakup penyelenggaraan transaksi keuangan dan pengelolaan uang rupiah lainnya selain transaksi di pasar keuangan yang belum dicakup di tempat lain, misalnya aktivitas kliring dan setelmen transaksi keuangan selain untuk sistem pembayaran dan pemindahan dana.",,66149,PERUSAHAAN EFEK SELAIN MANAJEMEN INVESTASI LAINNYA,"Kelompok ini mencakup kegiatan usaha perusahaan efek di pasar modal, selain kegiatan manajemen investasi, yaitu selain kegiatan sbb: kegiatan penjaminan emisi efek, kegiatan lain yang berkaitan dengan aksi korporasi dari perusahaan yang akan atau telah melakukan penawaran umum; melakukan transaksi efek untuk kepentingan sendiri dan pihak lain, dan/atau pemasaran efek untuk kepentingan perusahaan efek lain; melakukan kegiatan usaha jual beli efek bersifat utang dan sukuk untuk kepentingan sendiri dan/ atau nasabahnya; melakukan kegiatan penawaran kepada calon nasabah untuk menjadi nasabah perantara pedagang efek; memasarkan efek reksa dana berdasarkan kontrak kerja sama dengan manajemen investasi pengelola reksa dana.",,BERUBAH (judul/definisi berbeda)
2433,Sub Golongan,6615,6615,AKTIVITAS ADVISORI PASAR KEUANGAN,,,6615,PERANTARA PERDAGANGAN BERJANGKA KOMODITI,"Subgolongan ini mencakup kegiatan badan usaha yang melakukan aktivitas keperantaraan dalam lingkup usaha yang dapat memfasilitasi kegiatan jual beli komoditi melalui sistem elektronik baik untuk transaksi pasar fisik yang teroganisir di bursa berjangka dan/atau kontrak berjangka, kontrak derivatif syariah dan/atau kontrak derivatif lainnya yang telah mendapat persetujuan Bappebti, yang secara prinsip aktivitas transaksi yang dilakukan baik untuk dirinya sendiri atau kelompoknya, untuk atas nama nasabah, peserta, atau pelanggannya.",,BERUBAH (judul/definisi berbeda)
2434,Kelompok (Kode KBLI),66151,66151,AKTIVITAS ADVISORI INVESTASI,"Kelompok ini mencakup kegiatan advisori investasi yang dilakukan oleh perorangan ataupun perusahaan, yaitu memberikan nasihat kepada pihak lain mengenai penjualan atau pembelian efek dengan menerima imbalan jasa.",,66151,PEDAGANG BERJANGKA,"Kelompok ini mencakup kegiatan usaha pihak yang telah menjadi anggota bursa berjangka dan dalam aktivitas usahanya hanya berhak melakukan transaksi kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya di bursa berjangka untuk diri sendiri atau kelompok usahanya, termasuk pedagang berjangka kontrak berjangka dan pedagang berjangka yang menjadi market maker.",,BERUBAH (judul/definisi berbeda)
2435,Kelompok (Kode KBLI),66152,66152,AKTIVITAS ADVISORI PERDAGANGAN BERJANGKA KOMODITAS,"Kelompok ini mencakup kegiatan advisori perdagangan komoditas berjangka, yaitu memberikan nasihat kepada pihak lain mengenai jual beli komoditas berdasarkan kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya dengan menerima imbalan, termasuk juga untuk pihak yang menjalankan fungsi sebagai wakil penasihat berjangka.",,66152,PIALANG PERDAGANGAN BERJANGKA,"Kelompok ini mencakup kegiatan badan usaha yang melakukan kegiatan jual beli komoditi berdasarkan kontrak berjangka, kontrak derivatif syariah, dan/atau kontrak derivatif lainnya atas amanat nasabah dengan menarik sejumlah uang dan/atau surat berharga tertentu sebagai margin untuk menjamin transaksi tersebut, termasuk bagi pihak yang menjalankan fungsi sebagai wakil pialang berjangka, pembukaan kantor cabang pialang berjangka, penyaluran amanat luar negeri, dan peserta sistem perdagangan alternatif.",,BERUBAH (judul/definisi berbeda)
2436,Kelompok (Kode KBLI),66153,66153,AKTIVITAS ADVISORI SYARIAH PASAR MODAL,"Kelompok ini mencakup kegiatan orang perseorangan yang memiliki pengetahuan dan pengalaman di bidang syariah; atau badan usaha yang pengurus dan pegawainya memiliki pengetahuan dan pengalaman di bidang syariah, yang memberikan nasihat dan/atau mengawasi pelaksanaan penerapan prinsip syariah di pasar modal dalam kegiatan usaha perusahaan dan/atau memberikan pernyataan kesesuaian syariah atas produk atau jasa syariah di pasar modal.",,66153,PEDAGANG FISIK KOMODITI,"Kelompok ini mencakup kegiatan badan usaha yang menyediakan sarana sistem perdagangan untuk melakukan kegiatan jual beli komoditi yang telah ditetapkan sebagai komoditi yang dapat ditransaksikan melalui mekanisme pasar fisik komoditi di bursa berjangka baik atas nama diri sendiri, dan/atau memfasilitasi transaksi pelanggan.",,BERUBAH (judul/definisi berbeda)
2437,Kelompok (Kode KBLI),66159,66159,AKTIVITAS ADVISORI PASAR KEUANGAN LAINNYA,"Kelompok ini mencakup kegiatan penunjang keuangan lainnya yang tidak diklasifikasikan di tempat lain, seperti konsultan keuangan, mortgage advisers and brokers, konsultan hipotek, dan konsultan investasi lainnya, misalnya jasa robo-advisor.",,66159,PERANTARA PERDAGANGAN BERJANGKA KOMODITI LAINNYA,"Kelompok usaha ini mencakup kegiatan yang belum termasuk di dalam kelompok 66151, 66152, 66153 dan 66154. Kegiatan pada kelompok ini untuk aktivitas yang sebagian besar dilakukan dengan menjalankan fungsi keperantaraan yang berkaitan dengan nasabah, klien atau pelanggan.",,BERUBAH (judul/definisi berbeda)
2438,Sub Golongan,6616,6616,JASA INTERMEDIASI PINJAM MEMINJAM UANG BERBASIS TEKNOLOGI INFORMASI,,,6616,KEGIATAN PENUKARAN VALUTA ASING (MONEY CHANGER),Subgolongan ini mencakup kegiatan usaha jual dan beli uang kertas asing serta pembelian cek pelawat.,,BERUBAH (judul/definisi berbeda)
2439,Kelompok (Kode KBLI),66161,66161,JASA INTERMEDIASI PINJAM MEMINJAM UANG BERBASIS TEKNOLOGI INFORMASI KONVENSIONAL,"Kelompok ini mencakup kegiatan jasa intermediasi pinjam meminjam uang berbasis teknologi informasi yang meliputi penyediaan, pengelolaan, dan pengoperasian layanan jasa keuangan untuk mempertemukan pemberi pinjaman dan penerima pinjaman dalam rangka melakukan perjanjian pinjam meminjam secara konvensional.",,,,,,BARU (hanya ada di KBLI 2025)
2440,Kelompok (Kode KBLI),66162,66162,JASA INTERMEDIASI PINJAM MEMINJAM UANG BERBASIS TEKNOLOGI INFORMASI SYARIAH,"Kelompok ini mencakup kegiatan jasa intermediasi untuk pinjam meminjam uang yang meliputi penyediaan, pengelolaan, dan pengoperasian layanan jasa keuangan untuk mempertemukan pemberi pinjaman dan penerima pinjaman berdasarkan prinsip syariah.",,,,,,BARU (hanya ada di KBLI 2025)
2441,Sub Golongan,6619,6619,"AKTIVITAS PENUNJANG JASA KEUANGAN LAINNYA, KECUALI ASURANSI DAN DANA PENSIUN",,,6619,AKTIVITAS PENUNJANG JASA KEUANGAN LAINNYA,"Subgolongan ini mencakup kegiatan penunjang jasa keuangan lainnya seperti : - Pemrosesan transaksi keuangan dan kegiatan penyelesaian, mencakup untuk transaksi kartu kredit - Kegiatan penasihat dan makelar hipotek Subgolongan ini juga mencakup : - Wali amanat, fiduciary, dan kustodian atas dasar balas jasa atau kontrak.","Subgolongan ini tidak mencakup : - Kegiatan agen dan broker asuransi, lihat 6622 - Manajemen dana, lihat 663",BERUBAH (judul/definisi berbeda)
2442,Kelompok (Kode KBLI),66191,66191,AKTIVITAS PENDANAAN UNTUK TRANSAKSI EFEK,"Kelompok ini mencakup kegiatan penyediaan fasilitas pinjaman berupa dana dan/atau efek kepada pialang untuk mendukung transaksi efek, misalnya transaksi marjin, short selling, dan repo.",,66191,BIRO ADMINISTRASI EFEK,Kelompok ini mencakup kegiatan usaha pihak yang berdasarkan kontrak dengan emiten melaksanakan pencatatan pemilikan efek dan pembagian hak yang berkaitan dengan efek.,,BERUBAH (judul/definisi berbeda)
2443,Kelompok (Kode KBLI),66192,66192,PENITIPAN DAN PENGELOLAAN BERDASARKAN PERJANJIAN TRUST,Kelompok ini mencakup kegiatan penitipan dan pengelolaan berdasarkan perjanjian trust untuk kepentingan penerima manfaat (beneficiary) atas dasar balas jasa atau kontrak.,,66192,KUSTODIAN (CUSTODIAN),"Kelompok ini mencakup kegiatan usaha pihak yang memberikan jasa penitipan efek dan harta lain yang berkaitan dengan efek serta jasa lain, termasuk menerima deviden, bunga, dan hak-hak lain, menyelesaikan transaksi efek, dan mewakili pemegang rekening yang menjadi nasabahnya. Seperti bank kustodian dan sebagainya.",,BERUBAH (judul/definisi berbeda)
2444,Kelompok (Kode KBLI),66193,66193,PEMERINGKATAN EFEK,"Kelompok ini mencakup kegiatan pemeringkatan efek bersifat utang, sukuk, efek beragun aset, atau efek lain yang dapat diperingkat serta pihak sebagai entitas (company rating), termasuk reksa dana dan dana investasi real estat berbentuk kontrak investasi kolektif. Pemeringkatan ini dilakukan untuk memberikan informasi kepada investor untuk mengetahui kemampuan suatu pihak untuk memenuhi kewajiban pembayaran secara penuh dan tepat waktu, yang dinyatakan dengan suatu sistem peringkat yang telah ditentukan.",,66193,WALI AMANAT (TRUSTEE),Kelompok ini mencakup kegiatan usaha pihak yang dipercayakan untuk mewakili kepentingan seluruh pemegang efek bersifat utang atau sukuk.,,BERUBAH (judul/definisi berbeda)
2445,Kelompok (Kode KBLI),66194,66194,PENILAIAN HARGA EFEK,Kelompok ini mencakup kegiatan penilaian harga efek dalam rangka menetapkan harga pasar wajar.,,66194,PERUSAHAAN PEMERINGKAT EFEK,"Kelompok ini mencakup kegiatan usaha pihak yang memeringkat efek bersifat utang, sukuk, efek beragun aset atau efek lain yang dapat diperingkat serta pihak sebagai entitas (company rating), termasuk reksa dana dan dana investasi real estat berbentuk kontrak investasi kolektif. Pemeringkatan ini dilakukan untuk memberikan informasi kepada investor untuk mengetahui kemampuan suatu pihak untuk memenuhi kewajiban pembayaran secara penuh dan tepat waktu, yang dinyatakan dengan suatu sistem peringkat yang telah ditentukan.",,BERUBAH (judul/definisi berbeda)
2446,Kelompok (Kode KBLI),66195,66195,PENYELENGGARAAN DANA PERLINDUNGAN PEMODAL,Kelompok ini mencakup kegiatan penyelenggaraan dan pengelolaan kumpulan dana perlindungan pemodal yang dibentuk untuk melindungi pemodal atau investor dari hilangnya aset pemodal atau investor.,,66195,AHLI SYARIAH PASAR MODAL (ASPM),"Kelompok ini mencakup kegiatan orang perseorangan yang memiliki pengetahuan dan pengalaman di bidang syariah; atau badan usaha yang pengurus dan pegawainya memiliki pengetahuan dan pengalaman di bidang syariah, yang memberikan nasihat dan/atau mengawasi pelaksanaan penerapan prinsip syariah di pasar modal dalam kegiatan usaha perusahaan dan/atau memberikan pernyataan kesesuaian syariah atas produk atau jasa syariah di pasar modal.",,BERUBAH (judul/definisi berbeda)
2447,Kelompok (Kode KBLI),66196,66196,PENJAMINAN EMISI EFEK (UNDERWRITER),"Kelompok ini mencakup kegiatan penjaminan emisi efek dan kegiatan lain yang berkaitan dengan aksi korporasi dari perusahaan yang akan atau telah melakukan penawaran umum, seperti pemberian nasihat dalam rangka penerbitan efek, penggabungan, peleburan, pengambilalihan, dan/atau restrukturisasi.",,,,,,BARU (hanya ada di KBLI 2025)
2448,Kelompok (Kode KBLI),66197,66197,AKTIVITAS PENDUKUNG DI PASAR UANG DAN PASAR VALUTA ASING,Kelompok ini mencakup kegiatan intermediasi dalam rangka penerbitan dan perdagangan instrumen serta pelaksanaan transaksi yang ada di pasar uang dan pasar valuta asing selain melalui bursa..,,,,,,BARU (hanya ada di KBLI 2025)
2449,Kelompok (Kode KBLI),66198,66198,"PEMERINGKATAN USAHA MIKRO, KECIL, MENENGAH, DAN KOPERASI","Kelompok ini mencakup kegiatan pemberian jasa pemeringkatan bagi usaha mikro, kecil, menengah, dan koperasi.",,,,,,BARU (hanya ada di KBLI 2025)
